Rank,company_name,stock_symbol,website,market_cap,market_cap_pretty,Filed for Year,Filed,Filed For Date,SEC_10K
1,Microsoft,MSFT,https://www.microsoft.com,"$3,002,343,620,608",3002 B,2023,7/27/2023,6/30/2023,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
2,Apple Inc.,AAPL,https://www.apple.com,"$2,815,212,650,496",2815 B,2023,11/3/2023,9/30/2023,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
3,Nvidia,NVDA,https://www.nvidia.com,"$1,793,541,144,576",1794 B,2023,2/24/2023,1/29/2023,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
4,Amazon,AMZN,https://www.aboutamazon.com,"$1,760,768,032,768",1761 B,2023,2/2/2024,12/31/2023,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm
5,Alphabet Inc. (Class A),GOOGL,https://abc.xyz,"$1,754,293,862,400",1754 B,2023,1/31/2024,12/31/2023,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm
6,Alphabet Inc. (Class C),GOOG,https://abc.xyz,"$1,753,911,394,304",1754 B,,,,
7,Meta Platforms,META,https://investor.fb.com,"$1,206,686,842,880",1207 B,2023,2/2/2024,12/31/2023,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm
8,Berkshire Hathaway,BRK.B,https://berkshirehathaway.com/,"$800,000,000,000",800 B,2022,2/27/2023,12/31/2022,https://www.sec.gov/Archives/edgar/data/1067983/000095017023004451/brka-20221231.htm
9,Eli Lilly and Company,LLY,https://www.lilly.com,"$742,415,007,744",742 B,2022,2/22/2023,12/31/2022,https://www.sec.gov/Archives/edgar/data/59478/000005947823000082/lly-20221231.htm
10,"Tesla, Inc.",TSLA,https://www.tesla.com,"$636,798,763,008",637 B,2023,1/29/2024,12/31/2023,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm
11,Broadcom Inc.,AVGO,https://www.broadcom.com,"$583,060,226,048",583 B,2023,12/14/2023,10/29/2023,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/avgo-20231029.htm
12,Visa Inc.,V,https://www.visa.com,"$572,181,708,800",572 B,2023,11/15/2023,9/30/2023,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/v-20230930.htm
13,JPMorgan Chase,JPM,https://www.jpmorganchase.com,"$515,015,573,504",515 B,2023,2/16/2024,12/31/2023,https://www.sec.gov/Archives/edgar/data/19617/000001961724000225/jpm-20231231.htm
14,UnitedHealth Group,UNH,https://www.unitedhealthgroup.com,"$482,394,603,520",482 B,2022,2/24/2023,12/31/2022,https://www.sec.gov/Archives/edgar/data/731766/000073176623000008/unh-20221231.htm
15,Walmart,WMT,https://www.stock.walmart.com,"$458,648,289,280",459 B,2023,3/17/2023,1/31/2023,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm
16,Mastercard,MA,https://www.mastercard.com,"$436,714,766,336",437 B,2023,2/13/2024,12/31/2023,https://www.sec.gov/Archives/edgar/data/1141391/000114139124000022/ma-20231231.htm
17,ExxonMobil,XOM,https://corporate.exxonmobil.com,"$411,911,847,936",412 B,2022,2/22/2023,12/31/2022,https://www.sec.gov/Archives/edgar/data/34088/000003408823000020/xom-20221231.htm
18,Johnson & Johnson,JNJ,https://www.jnj.com,"$377,092,964,352",377 B,2023,2/16/2024,12/31/2023,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/jnj-20231231.htm
19,Procter & Gamble,PG,https://www.pginvestor.com,"$370,624,167,936",371 B,2023,8/4/2023,6/30/2023,https://www.sec.gov/Archives/edgar/data/80424/000008042423000073/pg-20230630.htm
20,Home Depot (The),HD,https://www.homedepot.com,"$360,633,204,736",361 B,2023,3/15/2023,1/29/2023,https://www.sec.gov/Archives/edgar/data/354950/000035495023000059/hd-20230129.htm
21,Merck & Co.,MRK,https://www.merck.com,"$323,822,419,968",324 B,2022,2/24/2023,12/31/2022,https://www.sec.gov/Archives/edgar/data/310158/000162828023005061/mrk-20221231.htm
22,Costco,COST,https://www.costco.com,"$321,254,621,184",321 B,2023,10/11/2023,9/3/2023,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm
